name,avg_price,car_info
BAIC BJ40 Plus 2023 г.,20 000 000 ₸,"Город
Атырау
Поколение
2018 - н.в. 1 поколение
Кузов
внедорожник
Объем двигателя, л
2 (бензин)
Пробег
23 км
Коробка передач
автомат
Привод
полный привод
Руль
слева
Цвет
красный
Растаможен в Казахстане
Да"
BAIC BJ60 2023 г.,32 000 000 ₸,"Город
Тараз
Поколение
2022 - н.в. 1 поколение
Кузов
внедорожник
Объем двигателя, л
2 (бензин)
Пробег
23 км
Коробка передач
автомат
Привод
задний привод
Руль
слева
Цвет
серый
Растаможен в Казахстане
Да"
BAIC BJ40 Plus 2023 г.,22 000 000 ₸,"Город
Уральск
Поколение
2018 - н.в. 1 поколение
Кузов
внедорожник
Объем двигателя, л
2 (бензин)
Пробег
23 км
Коробка передач
автомат
Привод
полный привод
Руль
слева
Цвет
серый
Растаможен в Казахстане
Да"
BAIC BJ40 Plus 2023 г.,20 000 000 ₸,"Город
Шымкент
Поколение
2018 - н.в. 1 поколение
Кузов
внедорожник
Объем двигателя, л
2 (бензин)
Пробег
23 км
Коробка передач
автомат
Привод
полный привод
Руль
слева
Цвет
красный
Растаможен в Казахстане
Да"
BAIC BJ40 Plus 2023 г.,22 000 000 ₸,"Город
Петропавловск
Поколение
2018 - н.в. 1 поколение
Кузов
внедорожник
Объем двигателя, л
2 (бензин)
Пробег
23 км
Коробка передач
автомат
Привод
полный привод
Руль
слева
Цвет
серый
Растаможен в Казахстане
Да"
BAIC BJ40 Plus 2023 г.,22 000 000 ₸,"Город
Семей
Поколение
2018 - н.в. 1 поколение
Кузов
внедорожник
Объем двигателя, л
2 (бензин)
Пробег
23 км
Коробка передач
автомат
Привод
полный привод
Руль
слева
Цвет
серый
Растаможен в Казахстане
Да"
BAIC BJ60 2023 г.,32 000 000 ₸,"Город
Актау
Поколение
2022 - н.в. 1 поколение
Кузов
внедорожник
Объем двигателя, л
2 (бензин)
Пробег
23 км
Коробка передач
автомат
Привод
задний привод
Руль
слева
Цвет
серый
Растаможен в Казахстане
Да"
BAIC BJ40 Plus 2023 г.,20 000 000 ₸,"Город
Костанай
Поколение
2018 - н.в. 1 поколение
Кузов
внедорожник
Объем двигателя, л
2 (бензин)
Пробег
23 км
Коробка передач
автомат
Привод
полный привод
Руль
слева
Цвет
красный
Растаможен в Казахстане
Да"
BAIC BJ40 Plus 2023 г.,19 900 000 ₸,"Город
Алматы
Поколение
2018 - н.в. 1 поколение
Кузов
внедорожник
Объем двигателя, л
2 (бензин)
Пробег
9 км
Коробка передач
автомат
Привод
полный привод
Руль
слева
Цвет
зеленый металлик
Растаможен в Казахстане
Да"
BAIC Beijing X7 2022 г.,14 300 000 ₸,"Город
Алматы
Поколение
2020 - н.в. 1 поколение
Кузов
кроссовер
Объем двигателя, л
1.5 (бензин)
Пробег
23 км
Коробка передач
робот
Привод
передний привод
Руль
слева
Цвет
белый
Растаможен в Казахстане
Да"
BAIC BJ60 2023 г.,32 000 000 ₸,"Город
Усть-Каменогорск
Поколение
2022 - н.в. 1 поколение
Кузов
внедорожник
Объем двигателя, л
2 (бензин)
Пробег
23 км
Коробка передач
автомат
Привод
задний привод
Руль
слева
Цвет
серый
Растаможен в Казахстане
Да"
BAIC BJ60 2023 г.,32 000 000 ₸,"Город
Семей
Поколение
2022 - н.в. 1 поколение
Кузов
внедорожник
Объем двигателя, л
2 (бензин)
Пробег
23 км
Коробка передач
автомат
Привод
задний привод
Руль
слева
Цвет
белый
Растаможен в Казахстане
Да"
BAIC BJ40 Plus 2023 г.,20 000 000 ₸,"Город
Уральск
Поколение
2018 - н.в. 1 поколение
Кузов
внедорожник
Объем двигателя, л
2 (бензин)
Пробег
23 км
Коробка передач
автомат
Привод
полный привод
Руль
слева
Цвет
красный
Растаможен в Казахстане
Да"
BAIC BJ40 Plus 2023 г.,22 000 000 ₸,"Город
Караганда
Поколение
2018 - н.в. 1 поколение
Кузов
внедорожник
Объем двигателя, л
2 (бензин)
Пробег
23 км
Коробка передач
автомат
Привод
полный привод
Руль
слева
Цвет
серый
Растаможен в Казахстане
Да"
BAIC BJ60 2023 г.,32 000 000 ₸,"Город
Алматы
Поколение
2022 - н.в. 1 поколение
Кузов
внедорожник
Объем двигателя, л
2 (бензин)
Пробег
23 км
Коробка передач
автомат
Привод
задний привод
Руль
слева
Цвет
серый
Растаможен в Казахстане
Да"
BAIC EU5 2022 г.,10 300 000 ₸,"Город
Алматы
Поколение
2018 - н.в. 1 поколение
Кузов
седан
Двигатель
электрический
Пробег
70 км
Коробка передач
автомат
Привод
передний привод
Руль
слева
Цвет
белый
Растаможен в Казахстане
Да"
BAIC BJ40 Plus 2023 г.,20 000 000 ₸,"Город
Караганда
Поколение
2018 - н.в. 1 поколение
Кузов
внедорожник
Объем двигателя, л
2 (бензин)
Пробег
23 км
Коробка передач
автомат
Привод
полный привод
Руль
слева
Цвет
красный
Растаможен в Казахстане
Да"
BMW X7 2020 г.,58 828 532 ₸,"Город
Астана
Поколение
2018 - н.в. G07
Кузов
кроссовер
Объем двигателя, л
3 (бензин)
Пробег
40 000 км
Коробка передач
автомат
Привод
полный привод
Руль
слева
Растаможен в Казахстане
Да"
BMW 750 2011 г.,11 729 090 ₸,"Город
Алматы
Поколение
2008 - 2012 F01/F02
Кузов
седан
Объем двигателя, л
4.4 (бензин)
Пробег
103 000 км
Коробка передач
автомат
Привод
полный привод
Руль
слева
Цвет
хамелеон металлик
Растаможен в Казахстане
Да"
BMW 530 2007 г.,6 920 930 ₸,"Город
Алматы
Поколение
2007 - 2010 E60/E61 рестайлинг
Кузов
седан
Объем двигателя, л
3 (бензин)
Пробег
300 000 км
Коробка передач
автомат
Привод
задний привод
Руль
слева
Цвет
черный
Растаможен в Казахстане
Да"
BMW 530 2021 г.,34 014 705 ₸,"Город
Алматы
Поколение
2020 - н.в. G30 рестайлинг
Кузов
седан
Объем двигателя, л
2 (бензин)
Пробег
10 000 км
Коробка передач
автомат
Привод
задний привод
Руль
слева
Растаможен в Казахстане
Да"
BMW 735 2003 г.,4 647 115 ₸,"Город
Шымкент
Поколение
2001 - 2005 E65/E66
Кузов
седан
Объем двигателя, л
3.6 (бензин)
Коробка передач
автомат
Привод
задний привод
Руль
слева
Цвет
черный металлик
Растаможен в Казахстане
Да"
BMW 316 2003 г.,3 900 000 ₸,"Город
Алматы
Поколение
2001 - 2006 E46 рестайлинг
Кузов
универсал
Объем двигателя, л
1.8 (бензин)
Коробка передач
автомат
Привод
задний привод
Руль
слева
Цвет
серебристый металлик
Растаможен в Казахстане
Да"
BMW 530 2002 г.,5 181 896 ₸,"Город
Шымкент
Поколение
2000 - 2004 E39 рестайлинг
Кузов
седан
Объем двигателя, л
3 (бензин)
Коробка передач
автомат
Привод
задний привод
Руль
слева
Цвет
серебристый
Растаможен в Казахстане
Да"
BMW 530 2000 г.,4 613 518 ₸,"Город
Алматы
Поколение
2000 - 2004 E39 рестайлинг
Кузов
седан
Объем двигателя, л
3 (бензин)
Пробег
235 667 км
Коробка передач
автомат
Привод
задний привод
Руль
слева
Цвет
черный
Растаможен в Казахстане
Да"
BMW i7 2023 г.,102 500 000 ₸,"Город
Алматы
Поколение
2022 - н.в. 1 поколение
Кузов
седан
Двигатель
электрический
Пробег
50 км
Коробка передач
автомат
Привод
полный привод
Руль
слева
Цвет
черный металлик
Растаможен в Казахстане
Да"
BMW X6 2013 г.,14 636 428 ₸,"Город
Алматы
Поколение
2012 - 2014 E71 рестайлинг (E71/E72)
Кузов
кроссовер
Объем двигателя, л
3 (бензин)
Пробег
111 400 км
Коробка передач
автомат
Привод
полный привод
Руль
слева
Цвет
белый
Растаможен в Казахстане
Да"
BMW 750 2016 г.,30 600 000 ₸,"Город
Алматы
Поколение
2015 - 2019 G11/G12
Кузов
седан
Объем двигателя, л
4.4 (бензин)
Пробег
104 200 км
Коробка передач
автомат
Привод
полный привод
Руль
слева
Цвет
черный
Растаможен в Казахстане
Да"
BMW X5 M 2015 г.,33 385 714 ₸,"Город
Алматы
Поколение
2014 - 2018 F85
Кузов
кроссовер
Объем двигателя, л
4.4 (бензин)
Пробег
95 200 км
Коробка передач
автомат
Привод
полный привод
Руль
слева
Цвет
черный
Растаможен в Казахстане
Да"
BMW X1 2017 г.,15 999 421 ₸,"Город
Алматы
Поколение
2015 - 2019 F48
Кузов
кроссовер
Объем двигателя, л
2 (бензин)
Пробег
57 500 км
Коробка передач
автомат
Привод
полный привод
Руль
слева
Растаможен в Казахстане
Да"
BMW X6 2010 г.,12 214 285 ₸,"Город
Алматы
Поколение
2007 - 2012 E71 (E71/E72)
Кузов
кроссовер
Объем двигателя, л
4.4 (бензин)
Пробег
140 000 км
Коробка передач
автомат
Привод
полный привод
Руль
слева
Цвет
черный металлик
Растаможен в Казахстане
Да"
BMW 540 2022 г.,36 971 428 ₸,"Город
Астана
Поколение
2020 - н.в. G30 рестайлинг
Кузов
седан
Объем двигателя, л
3 (бензин)
Пробег
27 000 км
Коробка передач
автомат
Привод
задний привод
Руль
слева
Растаможен в Казахстане
Да"
BMW X5 2022 г.,53 811 560 ₸,"Город
Алматы
Поколение
2018 - н.в. G05
Кузов
кроссовер
Объем двигателя, л
3 (бензин)
Коробка передач
автомат
Привод
полный привод
Руль
слева
Цвет
синий
Растаможен в Казахстане
Да"
BMW 740 2005 г.,6 256 666 ₸,"Город
Алматы
Поколение
2005 - 2008 E65/E66 рестайлинг
Кузов
седан
Объем двигателя, л
4 (бензин)
Пробег
224 000 км
Коробка передач
автомат
Привод
задний привод
Руль
слева
Цвет
серебристый
Растаможен в Казахстане
Да"
BMW X5 2021 г.,67 953 333 ₸,"Город
Алматы
Поколение
2018 - н.в. G05
Кузов
кроссовер
Объем двигателя, л
4.4 (бензин)
Пробег
14 000 км
Коробка передач
автомат
Привод
полный привод
Руль
слева
Цвет
синий металлик
Растаможен в Казахстане
Да"
BMW 528 1997 г.,3 194 590 ₸,"Город
Алматы
Поколение
1995 - 2000 E39
Кузов
седан
Объем двигателя, л
2.8 (бензин)
Пробег
250 000 км
Коробка передач
автомат
Привод
задний привод
Руль
слева
Цвет
синий металлик
Растаможен в Казахстане
Да"
